cityId,stationId,countryCode,type,cityName,regionName,regionCode,lat,lon,population,elevation,timezone,culture_hIndex,culture_cIndex,culture_rIndex,culture_aIndex,culture_iIndex,culture_nIndex,formations_mIndex,formations_rIndex,beach_gIndex,beach_wIndex,beach_bIndex,beach_sIndex,beach_rIndex,beach_nIndex,beach_uIndex,beach_oIndex
132681,AR000875850,AR,CITY,Partido de Malvinas Argentinas,Buenos Aires Province,B,-34.507709999999996,-58.6956,320000,,America__Argentina__Buenos_Aires,221,183,556,87,0,15,0,0,0,0,0,0,0,0,0,0
132258,AR000875850,AR,CITY,Partido de Merlo,Buenos Aires Province,B,-34.66583,-58.728280000000005,524207,,America__Argentina__Buenos_Aires,388,491,949,176,0,6,0,0,0,0,0,0,0,0,0,0
132254,AR000875850,AR,CITY,Partido de Moreno,Buenos Aires Province,B,-34.6349,-58.79059,462242,,America__Argentina__Buenos_Aires,126,90,323,22,0,0,0,0,0,0,0,0,0,0,0,0
132238,AR000875850,AR,CITY,Partido de Morón,Buenos Aires Province,B,-34.65139,-58.62194,321109,,America__Argentina__Buenos_Aires,342,557,923,178,0,9,0,0,0,0,0,0,0,0,0,0
132200,AR000875850,AR,CITY,Partido de San Fernando,Buenos Aires Province,B,-34.44542,-58.542019999999994,163462,,America__Argentina__Buenos_Aires,184,462,515,132,0,101,0,0,0,0,0,0,0,0,0,6
132208,AR000875850,AR,CITY,Partido de San Isidro,Buenos Aires Province,B,-34.49009,-58.530280000000005,292878,,America__Argentina__Buenos_Aires,585,1128,797,361,0,110,0,0,0,0,0,0,0,0,0,0
132669,AR000875850,AR,CITY,Partido de San Miguel,Buenos Aires Province,B,-34.55209,-58.69171,253086,,America__Argentina__Buenos_Aires,269,229,716,56,0,6,0,0,0,0,0,0,0,0,0,0
132188,AR000875850,AR,CITY,Partido de Tigre,Buenos Aires Province,B,-34.42058,-58.58279,380709,,America__Argentina__Buenos_Aires,131,202,419,75,0,91,0,0,0,0,0,0,0,0,0,7
132191,AR000875850,AR,CITY,Partido de Tres de Febrero,Buenos Aires Province,B,-34.59987,-58.56606,343774,,America__Argentina__Buenos_Aires,1377,1046,958,686,6,74,0,0,0,0,0,0,0,0,0,0
1187,AR000875850,AR,CITY,Pilar,Buenos Aires Province,B,-34.458659999999995,-58.9142,226517,18.0,America__Argentina__Buenos_Aires,32,29,90,12,2,13,0,0,0,0,0,0,0,0,0,0
1642,AR000875850,AR,CITY,San Isidro,Buenos Aires Province,B,-34.4721,-58.527080000000005,292878,15.0,America__Argentina__Buenos_Aires,448,946,690,291,0,113,0,0,0,0,0,0,0,0,0,4
1048,AR000875850,AR,CITY,San Justo,Buenos Aires Province,B,-34.6766,-58.56058,136604,26.0,America__Argentina__Buenos_Aires,451,1055,943,439,6,15,0,0,0,0,0,0,0,0,0,0
1197476,AR000875850,AR,CITY,San Miguel,Buenos Aires Province,B,-34.54335,-58.71229,157532,28.0,America__Argentina__Buenos_Aires,243,187,633,53,0,6,0,0,0,0,0,0,0,0,0,0
1892,ARM00087593,AR,CITY,Berisso,Buenos Aires Province,B,-34.8735,-57.883030000000005,101123,6.0,America__Argentina__Buenos_Aires,42,159,159,84,0,9,0,0,0,0,0,0,0,0,0,0
1244,ARM00087593,AR,CITY,La Plata,Buenos Aires Province,B,-34.92145,-57.954530000000005,694167,26.0,America__Argentina__Buenos_Aires,54,180,198,85,0,9,0,0,0,0,0,0,0,0,0,0
132330,ARM00087593,AR,CITY,Partido de Berazategui,Buenos Aires Province,B,-34.83333,-58.166669999999996,320224,,America__Argentina__Buenos_Aires,50,100,250,11,0,15,0,0,0,0,0,0,0,0,0,0
132263,ARM00087593,AR,CITY,Partido de La Plata,Buenos Aires Province,B,-35.0,-58.0,774369,,America__Argentina__Buenos_Aires,54,180,192,85,0,9,0,0,0,0,0,0,0,0,0,0
1680,AR000087860,AR,CITY,Comodoro Rivadavia,Chubut Province,U,-45.864129999999996,-67.49656,217593,61.0,America__Argentina__Rio_Gallegos,38,30,35,12,6,23,30,0,0,0,0,2,0,0,0,2
1932,ARM00087166,AR,CITY,Corrientes,Corrientes,W,-27.467840000000002,-58.8344,352646,62.0,America__Argentina__Cordoba,86,362,622,52,6,64,4,0,0,0,0,0,0,0,0,12
132626,ARM00087311,AR,CITY,Departamento de Capital,San Juan Province,J,-31.53333,-68.53333,116511,,America__Argentina__San_Juan,99,97,271,25,1,3,9,0,0,0,0,0,0,0,0,0
1866,ARM00087311,AR,CITY,San Juan,San Juan Province,J,-31.5375,-68.53639,471389,640.0,America__Argentina__San_Juan,99,97,271,25,1,3,9,0,0,0,0,0,0,0,0,0
132534,AR000087418,AR,CITY,Departamento de Guaymallén,Mendoza,M,-32.88333,-68.7,283803,,America__Argentina__Mendoza,39,197,206,44,6,0,0,0,0,0,0,0,0,0,0,0
132482,ARM00087416,AR,CITY,Departamento de Maipú,Mendoza,M,-33.0,-68.58333,153600,,America__Argentina__Mendoza,11,11,25,8,0,0,0,0,0,0,0,0,0,0,0,0
132389,ARM00087416,AR,CITY,Departamento de San Martín,Mendoza,M,-32.8373,-68.24922,108448,,America__Argentina__Mendoza,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1767,ARM00087576,AR,CITY,Florencio Varela,Buenos Aires Province,B,-34.827220000000004,-58.395559999999996,146704,25.0,America__Argentina__Buenos_Aires,103,134,593,59,0,3,0,0,0,0,0,0,0,0,0,0
1119,ARM00087576,AR,CITY,José María Ezeiza,Buenos Aires Province,B,-34.84787,-58.528690000000005,160219,12.0,America__Argentina__Buenos_Aires,74,88,330,57,0,3,0,0,0,0,0,0,0,0,0,0
1718,ARM00087576,AR,CITY,Lomas de Zamora,Buenos Aires Province,B,-34.76088,-58.406319999999994,111897,20.0,America__Argentina__Buenos_Aires,316,884,961,374,0,18,0,0,0,0,0,0,0,0,0,0
132315,ARM00087576,AR,CITY,Partido de Almirante Brown,Buenos Aires Province,B,-34.83333,-58.333330000000004,555731,,America__Argentina__Buenos_Aires,310,713,942,302,0,36,0,0,0,0,0,0,0,0,0,0
132283,ARM00087576,AR,CITY,Partido de Esteban Echeverría,Buenos Aires Province,B,-34.81917,-58.465830000000004,298814,,America__Argentina__Buenos_Aires,100,98,522,61,0,3,0,0,0,0,0,0,0,0,0,0
132679,ARM00087576,AR,CITY,Partido de Ezeiza,Buenos Aires Province,B,-34.85417,-58.524719999999995,118807,,America__Argentina__Buenos_Aires,72,88,311,57,0,3,0,0,0,0,0,0,0,0,0,0
132290,ARM00087576,AR,CITY,Partido de Florencio Varela,Buenos Aires Province,B,-34.83333,-58.25,423992,,America__Argentina__Buenos_Aires,88,129,474,46,0,15,0,0,0,0,0,0,0,0,0,0
132245,ARM00087576,AR,CITY,Partido de La Matanza,Buenos Aires Province,B,-34.75,-58.583330000000004,1775816,,America__Argentina__Buenos_Aires,1309,1068,925,1315,6,149,0,0,0,0,0,0,0,0,0,0
132236,ARM00087576,AR,CITY,Partido de Lomas de Zamora,Buenos Aires Province,B,-34.75,-58.416669999999996,613192,,America__Argentina__Buenos_Aires,1470,1111,967,1212,6,61,0,0,0,0,0,0,0,0,0,0
1908,ARM00087162,AR,CITY,Formosa,Formosa Province,P,-26.18489,-58.17313000000001,222226,57.0,America__Argentina__Cordoba,21,23,23,0,6,8,0,0,0,0,0,0,0,0,0,0
1022,ARM00087497,AR,CITY,Gualeguaychú,Entre Ríos Province,E,-33.009370000000004,-58.517219999999995,109461,15.0,America__Argentina__Cordoba,17,29,45,4,0,21,0,0,0,0,0,0,0,0,0,10
1964,AR000087129,AR,CITY,La Banda,Santiago del Estero Province,G,-27.73348,-64.24278000000001,106441,193.0,America__Argentina__Cordoba,29,16,69,0,0,6,0,0,0,0,0,0,0,0,0,0
1500,AR000087129,AR,CITY,Santiago del Estero,Santiago del Estero Province,G,-27.795109999999998,-64.26149000000001,354692,182.0,America__Argentina__Cordoba,30,16,69,0,0,0,0,0,0,0,0,0,0,0,0,0
1451,AR000087217,AR,CITY,La Rioja,La Rioja Province,F,-29.41105,-66.85067,180995,498.0,America__Argentina__La_Rioja,20,26,28,0,0,0,4,0,0,0,0,0,0,0,0,0
1466,AR000087692,AR,CITY,Mar del Plata,Buenos Aires Province,B,-38.00042,-57.5562,860000,38.0,America__Argentina__Buenos_Aires,66,91,68,24,0,174,1,0,0,0,0,0,0,0,0,42
132275,AR000087692,AR,CITY,Partido de General Pueyrredón,Buenos Aires Province,B,-38.0,-57.75,564056,,America__Argentina__Buenos_Aires,65,89,66,30,0,171,1,0,0,0,0,0,0,0,0,0
1963,AR000087715,AR,CITY,Neuquén,Neuquén Province,Q,-38.951609999999995,-68.0591,242092,250.0,America__Argentina__Salta,80,105,84,6,6,9,4,0,0,0,0,0,0,0,0,2
1400,AR000087374,AR,CITY,Paraná,Entre Ríos Province,E,-31.732709999999997,-60.528969999999994,262295,66.0,America__Argentina__Cordoba,19,30,49,18,0,3,0,0,0,0,0,0,0,0,0,4
1887,AR000087374,AR,CITY,Santa Fe,Santa Fe Province,S,-31.648809999999997,-60.70868000000001,489505,25.0,America__Argentina__Cordoba,42,94,99,19,0,18,0,0,0,0,0,0,0,0,0,10
132195,ARM00087645,AR,CITY,Partido de Tandil,Buenos Aires Province,B,-37.33333,-59.25,108109,,America__Argentina__Buenos_Aires,67,60,40,6,0,4,24,0,0,0,0,0,0,0,0,0
1398,ARM00087645,AR,CITY,Tandil,Buenos Aires Province,B,-37.321670000000005,-59.13316,116917,188.0,America__Argentina__Buenos_Aires,67,60,38,6,0,7,27,0,0,0,0,0,0,0,0,0
1444,PA000086297,AR,CITY,Posadas,Misiones Province,N,-27.367079999999998,-55.896080000000005,323739,83.0,America__Argentina__Cordoba,282,154,342,21,4,24,0,0,0,0,0,0,0,0,0,5
1236,AR000087155,AR,CITY,Resistencia,Chaco Province,H,-27.460559999999997,-58.98389,387158,20.0,America__Argentina__Cordoba,84,367,734,53,6,37,4,0,0,0,0,0,0,0,0,0
1494,ARM00087480,AR,CITY,Rosario,Santa Fe Province,S,-32.94682,-60.63932,1193605,31.0,America__Argentina__Cordoba,196,403,232,185,4,82,0,0,0,0,0,0,0,0,0,45
1308,ARM00087453,AR,CITY,Río Cuarto,Córdoba Province,X,-33.13067,-64.34992,157010,425.0,America__Argentina__Cordoba,55,53,29,12,0,0,0,0,0,0,0,0,0,0,0,0
1910,AR000870470,AR,CITY,Salta,Salta Province,A,-24.7859,-65.41166,535303,1152.0,America__Argentina__Salta,84,124,160,22,0,6,25,0,0,0,0,0,0,0,0,0
2200,ARM00087765,AR,CITY,San Carlos de Bariloche,Río Negro Province,R,-41.14557,-71.30821999999999,112887,1093.0,America__Argentina__Salta,8,33,30,10,0,50,42,0,0,0,0,1,0,0,0,4
1793,ARM00087222,AR,CITY,San Fernando del Valle de Catamarca,Catamarca Province,K,-28.46957,-65.78524,188812,500.0,America__Argentina__Catamarca,45,35,121,22,2,18,5,0,0,0,0,0,0,0,0,3
1159,ARM00087436,AR,CITY,San Luis,San Luis Province,D,-33.29501,-66.33563000000001,183982,709.0,America__Argentina__San_Luis,20,17,43,0,0,9,2,0,0,0,0,0,0,0,0,0
1108,ARM00087121,AR,CITY,San Miguel de Tucumán,Tucumán Province,T,-26.824140000000003,-65.2226,781023,431.0,America__Argentina__Tucuman,56,99,130,12,6,7,20,3,0,0,0,0,0,0,0,0
1787,ARM00087509,AR,CITY,San Rafael,Mendoza,M,-34.61772,-68.33006999999999,109163,650.0,America__Argentina__Mendoza,6,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0
1409,ARM00087046,AR,CITY,San Salvador de Jujuy,Jujuy Province,Y,-24.194570000000002,-65.29711999999999,321789,1201.0,America__Argentina__Jujuy,91,108,216,36,0,0,18,0,0,0,0,0,0,0,0,0
1066,AR000087623,AR,CITY,Santa Rosa,La Pampa,L,-36.61667,-64.28333,111424,179.0,America__Argentina__Salta,9,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0
1052,AR000087828,AR,CITY,Trelew,Chubut Province,U,-43.24895,-65.30505,108360,11.0,America__Argentina__Catamarca,10,19,31,0,6,0,0,0,0,0,0,0,0,0,0,0
2502,ARM00087448,AR,CITY,Villa Mercedes,San Luis Province,D,-33.675709999999995,-65.45783,111391,512.0,America__Argentina__San_Luis,18,15,20,3,0,0,0,0,0,0,0,0,0,0,0,2
4140,AU000005901,AT,CITY,Donaustadt,Vienna,9,48.2333,16.46002,162592,,Europe__Vienna,1628,1549,2064,2406,292,203,143,0,0,0,0,0,0,0,0,9
4770,AU000005901,AT,CITY,Favoriten,Vienna,9,48.161159999999995,16.38233,179179,,Europe__Vienna,1569,1474,2022,2582,370,424,324,0,0,0,0,0,0,0,0,0
3100,AU000005901,AT,CITY,Floridsdorf,Vienna,9,48.25,16.4,162779,,Europe__Vienna,1682,1558,2074,2642,312,274,230,0,0,0,0,1,0,0,0,6
2534,AU000005901,AT,CITY,Vienna,Vienna,9,48.208490000000005,16.37208,1840573,171.0,Europe__Vienna,1656,1650,2068,2919,523,699,1083,0,0,0,0,1,0,0,0,15
3750,AU000016402,AT,CITY,Graz,Styria,6,47.06667,15.45,222326,363.0,Europe__Vienna,1394,936,1484,2684,72,155,166,0,0,0,0,0,0,0,0,0
132781,AU000016402,AT,CITY,Graz Stadt,Styria,6,47.06667,15.433329999999998,289440,,Europe__Vienna,1428,965,1520,2698,72,158,169,0,0,0,0,0,0,0,0,1
3158,AU000011801,AT,CITY,Innsbruck,Tyrol,7,47.26266,11.39454,132493,570.0,Europe__Vienna,1308,667,1865,2833,98,350,423,0,0,0,0,0,0,0,0,0
132768,AUM00011231,AT,CITY,Klagenfurt am Wörthersee,Carinthia,2,46.63333,14.3,100316,,Europe__Vienna,1100,270,971,1449,24,77,85,0,0,0,0,0,0,0,0,0
3676,AU000005010,AT,CITY,Linz,Upper Austria,4,48.30639,14.28611,204846,266.0,Europe__Vienna,728,721,1091,2770,6,150,102,0,0,0,0,4,0,0,0,1
1996,AU000006306,AT,CITY,Salzburg,Salzburg,5,47.799409999999995,13.043989999999999,154076,424.0,Europe__Vienna,1143,917,1454,2828,67,367,234,14,0,0,0,0,0,0,0,0
132737,AU000006306,AT,CITY,Salzburg Stadt,Salzburg,5,47.800670000000004,13.04532,154076,,Europe__Vienna,1143,902,1417,2828,67,361,234,14,0,0,0,0,0,0,0,0
4299,ASN00023000,AU,CITY,Adelaide,South Australia,SA,-34.92866,138.59863,1295714,1.0,Australia__Adelaide,227,644,653,378,52,429,92,0,0,0,0,0,0,0,0,22
5657,ASN00081123,AU,CITY,Bendigo,Victoria,VIC,-36.758179999999996,144.28024,100617,221.0,Australia__Melbourne,36,67,91,89,15,6,8,0,0,0,0,0,0,0,0,0
5499,ASN00040913,AU,CITY,Brisbane,Queensland,QLD,-27.467940000000002,153.02809,2360241,0.0,Australia__Brisbane,370,760,1065,2663,99,383,173,0,0,0,0,0,0,0,0,4
133157,ASN00031011,AU,CITY,Cairns,Queensland,QLD,-16.90268,145.75287,153075,,Australia__Brisbane,29,61,22,14,0,68,42,0,0,0,0,0,0,0,0,1
5042,ASN00070015,AU,CITY,Canberra,Australian Capital Territory,ACT,-35.28346,149.12807,381488,578.0,Australia__Sydney,218,570,327,541,17,118,129,0,0,0,0,0,0,0,0,0
4282,ASN00014040,AU,CITY,Darwin,Northern Territory,NT,-12.46113,130.84185,136828,0.0,Australia__Darwin,37,103,52,97,0,35,8,0,0,0,0,0,0,0,0,10
5493,ASN00040764,AU,CITY,Gold Coast,Queensland,QLD,-28.000290000000003,153.43088,638090,12.0,Australia__Brisbane,58,154,153,132,4,487,34,0,0,0,0,0,0,0,0,18
5345,ASN00094029,AU,CITY,Hobart,Tasmania,TAS,-42.87936,147.32941,222356,1270.0,Australia__Hobart,68,121,104,105,0,51,71,0,0,0,0,0,0,0,0,4
133205,ASN00040004,AU,CITY,Ipswich,Queensland,QLD,-27.6779,152.66188,163000,,Australia__Brisbane,48,20,72,156,4,12,18,0,0,0,0,0,0,0,0,0
4034,ASN00091237,AU,CITY,Launceston,Tasmania,TAS,-41.438759999999995,147.13467,106153,0.0,Australia__Hobart,30,88,84,75,4,4,18,0,0,0,0,0,0,0,0,0
5000,ASN00040854,AU,CITY,Logan City,Queensland,QLD,-27.63917,153.10943999999998,282673,,Australia__Brisbane,83,97,296,182,18,72,40,0,0,0,0,0,0,0,0,0
4383,ASN00061055,AU,CITY,Newcastle,New South Wales,NSW,-32.92953,151.7801,308308,9.0,Australia__Sydney,72,139,170,175,20,64,6,0,0,0,0,0,0,0,0,24
132856,ASN00014015,AU,CITY,Palmerston,Northern Territory,NT,-12.4962,130.97797,136828,,Australia__Darwin,35,101,54,80,0,25,6,0,0,0,0,0,0,0,0,0
4835,ASN00009225,AU,CITY,Perth,Western Australia,WA,-31.952240000000003,115.8614,2039200,2.0,Australia__Perth,307,1161,633,2016,51,727,125,0,0,0,0,0,0,3,0,48
132927,ASN00009256,AU,CITY,Rockingham,Western Australia,WA,-32.28239,115.73238,108022,,Australia__Perth,23,58,20,53,0,89,22,0,0,0,0,0,0,0,0,10
4935,ASN00066062,AU,CITY,Sydney,New South Wales,NSW,-33.86785,151.20731999999998,4840600,58.0,Australia__Sydney,916,1229,1096,2609,378,923,106,0,0,0,0,0,0,4,0,145
133094,ASN00041359,AU,CITY,Toowoomba,Queensland,QLD,-27.47958,151.47705,135631,,Australia__Brisbane,0,6,6,6,0,0,14,0,0,0,0,0,0,0,0,0
4226,ASN00032040,AU,CITY,Townsville,Queensland,QLD,-19.266389999999998,146.80569,196219,6.0,Australia__Brisbane,16,105,85,94,6,92,32,0,0,0,0,0,0,0,0,9
5276,ASN00068228,AU,CITY,Wollongong,New South Wales,NSW,-34.424,150.89345,292190,5.0,Australia__Sydney,86,89,99,124,28,92,35,0,0,0,0,0,0,0,0,5
6504,AJ000037735,AZ,CITY,Ganja,Ganja,GA,40.68278,46.36056,313300,,Asia__Baku,60,73,76,17,0,0,0,0,0,0,0,0,0,0,0,0
6136,AJ000037985,AZ,CITY,Lankaran,Lankaran District,LA,38.75428,48.85062,240300,76.0,Asia__Baku,50,3,14,0,0,0,0,0,0,0,0,0,0,0,0,2
133416,BKM00014557,BA,CITY,Bijeljina,Republika Srpska,SRP,44.76583,19.15083,114663,,Europe__Sarajevo,118,12,116,0,0,0,0,0,0,0,0,0,0,0,0,0
6680,BKM00014557,BA,CITY,Tuzla,Federation of Bosnia and Herzegovina,BIH,44.53842,18.667089999999998,142486,245.0,Europe__Sarajevo,133,47,146,12,0,31,56,0,0,0,0,0,0,0,0,2
6389,BKM00014648,BA,CITY,Mostar,Federation of Bosnia and Herzegovina,BIH,43.34333,17.80806,104518,60.0,Europe__Sarajevo,140,103,217,62,0,55,64,0,0,0,0,0,0,0,0,2
6264,BKM00014654,BA,CITY,Sarajevo,Federation of Bosnia and Herzegovina,BIH,43.84864,18.35644,696731,518.0,Europe__Sarajevo,524,316,582,334,18,99,185,0,0,0,0,0,0,0,0,0
6694,BKM00014652,BA,CITY,Zenica,Federation of Bosnia and Herzegovina,BIH,44.20169,17.90397,164423,330.0,Europe__Sarajevo,92,24,122,19,0,33,43,0,0,0,0,0,3,0,0,0
133464,BGM00041950,BD,CITY,Barisal,Barisal District,06,22.8,90.5,230000,,Asia__Dhaka,12,9,189,1,0,0,0,0,0,0,0,0,0,0,0,0
6599,BGM00041950,BD,CITY,Barisāl,Barisal District,06,22.70497,90.37013,230000,4.0,Asia__Dhaka,18,9,159,1,0,0,0,0,0,0,0,0,0,0,0,0
133512,BGM00041883,BD,CITY,Bogra,Rajshahi District,54,24.78333,89.35,400983,,Asia__Dhaka,18,12,167,2,0,0,0,0,0,0,0,0,0,0,0,0
133504,BGM00041883,BD,CITY,Jamalpur,Mymensingh District,34,25.0,89.83333,167900,,Asia__Dhaka,5,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0
6752,BGM00041883,BD,CITY,Pār Naogaon,Rajshahi District,54,24.80418,88.94875,192464,,Asia__Dhaka,0,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0
6827,BGM00041883,BD,CITY,Shibganj,Rajshahi District,54,25.00146,89.32266,378701,,Asia__Dhaka,25,12,135,0,0,0,0,0,0,0,0,0,0,0,0,0
133523,BGM00041978,BD,CITY,Chittagong,Chittagong Division,B,22.4875,91.96333,3920222,,Asia__Dhaka,89,95,997,18,0,19,6,0,0,0,0,0,0,0,0,1
133491,BGM00041992,BD,CITY,Cox's Bazar,Chittagong Division,B,21.58389,92.01528,253788,,Asia__Dhaka,6,10,86,2,0,24,0,0,0,0,0,0,0,0,0,0
